Brand,Family,"EDP / EDT / Set, etc.","Size, oz.",Retailer,Rating (5/5),# of reviews,"Review (after 06/19/2017, fragrances and gift sets only + DK deo)",Y/N (Reccom),Date,ExpectedTitle,Link
Donna Karan,Cashmere Mist,Deodorant,1.7,Sephora,5,422,LOVE this deodorant. have searched for years and have never found one so great,N/A,7/5/2017,Cashmere Mist,http://www.sephora.com/cashmere-mist-deodorant-P380541?skuId=592527&icid2=products%20grid:p380541
Donna Karan,Cashmere Mist,Deodorant,1.7,Sephora,4,421,"love this stuff- the only deodorant I wear. Although it's pricey for a deodorant, I love the smell and it keeps my armpits dry. Make sure not to apply too heavy handed because it does go on white and can easily get on dark clothes. But the great perfume smell is worth it, as it lasts all day.",N/A,7/3/2017,Cashmere Mist,http://www.sephora.com/cashmere-mist-deodorant-P380541?skuId=592527&icid2=products%20grid:p380541
Donna Karan,Cashmere Mist,Deodorant,1.7,Sephora,5,420,"Pricey, but works perfectly. I have an issue with body odor - not even with perspiration itself, but that if wrong deodorant or no deodorant is chosen, my clothes will start smelling pretty soon, even if there is no visible perspiration marks. I bought this one accidentally and I am very happy, as the smell is weaker than some natural deodorants, it applies very softly and while pricey, works perfectly and lasts quite a while.",N/A,6/28/2017,Cashmere Mist,http://www.sephora.com/cashmere-mist-deodorant-P380541?skuId=592527&icid2=products%20grid:p380541
Donna Karan,Cashmere Aura,EDP,1.7,Ulta,5,2,prior to 06/19/2017,Y,7/9/2017,Cashmere Aura,http://www.ulta.com/cashmere-aura-eau-de-parfum?productId=xlsImpprod14391041
Donna Karan,Cashmere Mist,Deodorant,1.7,Ulta,5,251,"
Expensive but worth it! It's the only thing I've found where I can be in surgery (work) and not pit out.",Y,7/9/2017,Cashmere Mist,http://www.ulta.com/cashmere-mist-deodorant?productId=fs748724
Donna Karan,Cashmere Mist,Deodorant,1.7,Ulta,5,250,"Love love love. This is the best, I've tried so many and this is my go to! If you have probable with sweating or just the smell of the deodorant not staying this is the one! Life changing.",Y,6/27/2017,Cashmere Mist,http://www.ulta.com/cashmere-mist-deodorant?productId=fs748724
Donna Karan,Cashmere Mist,Deodorant,1.7,Ulta,5,249,"I will over ever use this deodorant. Love love love. This last FOREVER. Ive always disliked using drug store deodorants. I wanted to use a higher end deodorant and this one is perfect. My last deodorant would break and sometimes sweat would drip down my arms (i know, yuck!) i dont have that problem with this.",Y,6/22/2017,Cashmere Mist,http://www.ulta.com/cashmere-mist-deodorant?productId=fs748724
Donna Karan,Cashmere Mist,Deodorant,1.7,Ulta,5,248,"The best. I have been using Cashmere deodorant for the last couple of years. I love everything about it. It goes on easy, last a long time, And smells great.
It helps that Cashmere Mist is my favorite fragrance.
It is pricey but a lot goes a long way with this deodorant.",Y,6/21/2017,Cashmere Mist,http://www.ulta.com/cashmere-mist-deodorant?productId=fs748724
Donna Karan,Cashmere Mist,Deodorant,1.7,Nordstrom,2,428,"not working very well. I saw this with many good reviews so I gave it a try. However, it does not work that well. It has nice smell from the beginning but quickly turns bad (especially in hot weather). It does not keep you dry. It is not recommended if you are going to where black outfits.",N/A,7/8/2017,Cashmere Mist,http://shop.nordstrom.com/s/donna-karan-cashmere-mist-deodorant-antiperspirant/2792883?origin=keywordsearch-personalizedsort
Donna Karan,Cashmere Mist,Deodorant,1.7,Nordstrom,5,427,"So Glad I Tried
I agree with all of the other 5 star reviews if you have tried it, you will not change.",N/A,7/6/2017,Cashmere Mist,http://shop.nordstrom.com/s/donna-karan-cashmere-mist-deodorant-antiperspirant/2792883?origin=keywordsearch-personalizedsort
Donna Karan,Cashmere Mist,Deodorant,1.7,Nordstrom,5,426,"Velvety good! I love, love, this deodorant by D.K. It's velvety soft against your skin. It has a soft scent. It even lightened my skin some. No more embarrassing darkened skin for me and no more yellow stains on clothing! Like what those other drug store kind do. Thank you D.K.!",N/A,7/3/2017,Cashmere Mist,http://shop.nordstrom.com/s/donna-karan-cashmere-mist-deodorant-antiperspirant/2792883?origin=keywordsearch-personalizedsort
Donna Karan,Cashmere Mist,Deodorant,1.7,Nordstrom,5,425,"Pure Gold!
Bought this on the recommendation of a friend and couldn't be more pleased with the results. This holds up after strenuous gym workouts and stays with me during my long days at work- I still feel and smell fresh!",N/A,7/1/2017,Cashmere Mist,http://shop.nordstrom.com/s/donna-karan-cashmere-mist-deodorant-antiperspirant/2792883?origin=keywordsearch-personalizedsort
Donna Karan,Cashmere Mist,Deodorant,1.7,Nordstrom,5,424,"The BEST Deodorant Ever!
OMG, I love this deodorant which has been my go-to for 3 years now! I refuse to go back to a drug-store brand. A little goes a long way; in fact, one bottle usually lasts me 8+ months",N/A,6/29/2017,Cashmere Mist,http://shop.nordstrom.com/s/donna-karan-cashmere-mist-deodorant-antiperspirant/2792883?origin=keywordsearch-personalizedsort
Donna Karan,Cashmere Mist,Deodorant,1.7,Nordstrom,5,423,"BEST
Best on the market ! Nordstrom is the best place to shop.",N/A,6/25/2017,Cashmere Mist,http://shop.nordstrom.com/s/donna-karan-cashmere-mist-deodorant-antiperspirant/2792883?origin=keywordsearch-personalizedsort
Donna Karan,Cashmere Mist,EDP,1.7,Sephora,5,215,"Men Love This One Ladies! Feminine, soft, powdery, light. I get compliments almost every time I wear this one, especially from men. Every woman should own a bottle of this classic!",N/A,7/9/2017,Cashmere Mist,http://www.sephora.com/cashmere-mist-eau-de-parfum-P41391?skuId=860940&icid2=products%20grid:p41391
Donna Karan,Cashmere Mist,EDP Spray,3.4,Ulta,5,245,My favorite. This has been my go to fragrance for many years,Y,6/27/2017,Cashmere Mist,http://www.ulta.com/cashmere-mist-eau-de-parfum-spray?productId=xlsImpprod640940
Donna Karan,Cashmere Mist,EDP Spray,6.7,Macy's,5,28,"love it. 
just loving it and the price was great for me. Thanks",Y,7/2/2017,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-cashmere-mist-eau-de-parfum-spray-6.7-oz?ID=1484032
Donna Karan,Cashmere Mist,EDP Spray,6.7,Macy's,-,0,-,N/A,7/9/2017,Cashmere Mist,https://www.macys.com/shop/product/donna-karan-cashmere-mist-eau-de-parfum-spray-6.7-oz.?ID=4750413
Donna Karan,Cashmere Mist,EDP,1,Sephora,5,215,"Men Love This One Ladies! Feminine, soft, powdery, light. I get compliments almost every time I wear this one, especially from men. Every woman should own a bottle of this classic!",N/A,7/9/2017,Cashmere Mist,http://www.sephora.com/cashmere-mist-eau-de-parfum-P41391?skuId=860940&icid2=products%20grid:p41391
Donna Karan,Cashmere Mist,EDP,3.4,Sephora,5,215,"Men Love This One Ladies! Feminine, soft, powdery, light. I get compliments almost every time I wear this one, especially from men. Every woman should own a bottle of this classic!",N/A,7/9/2017,Cashmere Mist,http://www.sephora.com/cashmere-mist-eau-de-parfum-P41391?skuId=860940&icid2=products%20grid:p41391
